# =====================================================
# BASE DE VALIDAÇÃO FISCAL - SETOR SUCROALCOOLEIRO
# =====================================================
# Fonte: RELATORIO_TECNICO_EXPERT.txt - Protocolo MVP NCM 1701
# Este arquivo contém as regras fiscais para validação de NF-e
#
# ESTRUTURA:
# - NCM: Código NCM (8 dígitos)
# - descricao: Descrição do produto
# - pis_cst_saida: CST esperado para PIS na saída
# - pis_aliquota_saida: Alíquota de PIS na saída (%)
# - cofins_cst_saida: CST esperado para COFINS na saída
# - cofins_aliquota_saida: Alíquota de COFINS na saída (%)
# - pis_cst_entrada: CST esperado para PIS na entrada
# - pis_aliquota_entrada: Alíquota de crédito de PIS na entrada (%)
# - cofins_cst_entrada: CST esperado para COFINS na entrada
# - cofins_aliquota_entrada: Alíquota de crédito de COFINS na entrada (%)
# - cfop_saida_permitidos: CFOPs válidos para saída (separados por |)
# - cfop_entrada_permitidos: CFOPs válidos para entrada (separados por |)
# - icms_sp_reducao_bc: Redução de Base de Cálculo ICMS em SP (%)
# - icms_pe_credito_presumido: Crédito presumido ICMS em PE (%)
# - base_legal: Referência legal principal
# - observacoes: Observações importantes
#
ncm,descricao,pis_cst_saida,pis_aliquota_saida,cofins_cst_saida,cofins_aliquota_saida,pis_cst_entrada,pis_aliquota_entrada,cofins_cst_entrada,cofins_aliquota_entrada,cfop_saida_permitidos,cfop_entrada_permitidos,icms_sp_reducao_bc,icms_pe_credito_presumido,base_legal,observacoes

# =====================================================
# AÇÚCAR - NCM 1701 (FOCO MVP)
# =====================================================

# 1701.11.00 - Açúcar de cana bruto
17011100,Açúcar de cana bruto,06,0.00,06,0.00,50,1.65,50,7.60,5101|5102|6101|6102,1101|2101,SIM,9,Lei 10925/2004 Art.1 X; RICMS/SP Anexo II Art.3 V,Alíquota Zero na saída (CST 06). Manter créditos de entrada (Lei 11033/2004 Art.17). SP: RBC do ICMS. PE: Crédito presumido 9% (regime substitutivo)

# 1701.12.00 - Açúcar de beterraba bruto
17011200,Açúcar de beterraba bruto,06,0.00,06,0.00,50,1.65,50,7.60,5101|5102|6101|6102,1101|2101,SIM,9,Lei 10925/2004 Art.1 X,Alíquota Zero na saída. Manter créditos de entrada.

# 1701.13.00 - Açúcar de cana mencionado na Nota 2 de subposição do presente Capítulo
17011300,Açúcar de cana mencionado na Nota 2 de subposição,06,0.00,06,0.00,50,1.65,50,7.60,5101|5102|6101|6102,1101|2101,SIM,9,Lei 10925/2004 Art.1 X,Alíquota Zero na saída. Manter créditos de entrada.

# 1701.14.00 - Outros açúcares de cana
17011400,Açúcar de cana refinado,06,0.00,06,0.00,50,1.65,50,7.60,5101|5102|6101|6102,1101|2101,SIM,9,Lei 10925/2004 Art.1 X; RICMS/SP Anexo II Art.3 V,Alíquota Zero na saída (CST 06). Manter créditos de entrada. SP: RBC do ICMS (cesta básica). PE: Crédito presumido 9%

# 1701.91.00 - Açúcar com adição de aromatizantes ou de corantes
